"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed"
8,10,1e-04,"gaussian","single","double",0.67967393600204,25.6231380452475,9.9999999999633e-05,21614.9392661721,0.00699999999999967,398
9,10,1e-04,"gaussian","single","double",0.731924979906914,24.0584042178392,9.99999999998729e-05,19000.9754281514,0.00600000000000023,399
10,10,1e-04,"gaussian","single","double",0.768218807505517,25.0486410220381,9.99999999998661e-05,20281.6846051951,0.00999999999999979,400
1,10,1e-06,"gaussian","double","double",0.752425540669691,235.576454476993,9.99999999839405e-07,2345334.61637052,0.0109999999999992,401
2,10,1e-06,"gaussian","double","double",0.676080173685891,250.352512640054,9.99999999758259e-07,2026103.43523246,0.00899999999999856,402
3,10,1e-06,"gaussian","double","double",0.71132874894255,240.501614576686,9.99999999820923e-07,1913040.57183525,0.00799999999999912,403
4,10,1e-06,"gaussian","double","double",0.701367815832309,231.056948191081,9.9999999976096e-07,2244483.3690851,0.00699999999999967,404
5,10,1e-06,"gaussian","double","double",0.713747630097191,232.957161198759,9.99999999644704e-07,2325452.20294741,0.00600000000000023,405
6,10,1e-06,"gaussian","double","double",0.81042600182273,224.477594966382,9.99999999838979e-07,2220031.77703049,0.00699999999999967,406
7,10,1e-06,"gaussian","double","double",0.801168788911569,241.402139039083,9.99999999844938e-07,2232786.66698969,0.00600000000000023,407
8,10,1e-06,"gaussian","double","double",0.66756650817571,200.907375927572,9.99999999570779e-07,2213445.60598024,0.00699999999999967,408
9,10,1e-06,"gaussian","double","double",0.690572211984087,227.842619215902,9.99999999807468e-07,1622990.51165096,0.00900000000000034,409
10,10,1e-06,"gaussian","double","double",0.696111649637627,236.441734153082,9.99999999762274e-07,2226561.94143298,0.00699999999999967,410
1,10,1e-06,"gaussian","single","double",0.744144729953395,227.622100093258,9.99999999858243e-07,2167864.2761515,0.00600000000000023,411
2,10,1e-06,"gaussian","single","double",0.726393726991717,222.336008484347,9.99999999858221e-07,2111198.59319421,0.00699999999999967,412
3,10,1e-06,"gaussian","single","double",0.720078136363257,252.756516551804,9.9999999981253e-07,1928565.58788457,0.00799999999999912,413
4,10,1e-06,"gaussian","single","double",0.86863944700409,219.156517597753,9.99999999806478e-07,2795219.90485504,0.00899999999999856,414
5,10,1e-06,"gaussian","single","double",0.828209542673629,209.331191970697,9.99999999800687e-07,2498297.65408971,0.00600000000000023,415
6,10,1e-06,"gaussian","single","double",0.730196785080389,231.201933162933,9.99999999849029e-07,2522025.88611193,0.00600000000000023,416
7,10,1e-06,"gaussian","single","double",0.869061148468425,230.483657112658,9.99999999726587e-07,2622943.43515436,0.00999999999999979,417
8,10,1e-06,"gaussian","single","double",0.691943198651736,233.571978352012,9.99999999804104e-07,2735157.7846126,0.00600000000000023,418
9,10,1e-06,"gaussian","single","double",0.687517221868499,234.965207678562,9.99999999862396e-07,2729949.38834082,0.00700000000000145,419
10,10,1e-06,"gaussian","single","double",0.793024619409296,250.87719727473,9.99999999812955e-07,2648488.74524763,0.0080000000000009,420
1,15,0.01,"gaussian","double","double",0.712427508348446,1.47321145001092,0.0099999999999998,210.842632897953,0.00399999999999956,421
2,15,0.01,"gaussian","double","double",0.690597939323522,1.69298724180185,0.00999999999999989,208.409708516449,0.0080000000000009,422
3,15,0.01,"gaussian","double","double",0.632601188811843,1.71570150196485,0.00999999999999986,176.308214910777,0.00699999999999967,423
4,15,0.01,"gaussian","double","double",0.711754202172055,1.81028332413476,0.00999999999999989,241.844557433193,0.00699999999999967,424
5,15,0.01,"gaussian","double","double",0.704621079698314,1.68712182666723,0.00999999999999981,207.170552427583,0.00900000000000034,425
6,15,0.01,"gaussian","double","double",0.668418941699167,1.51035651042116,0.00999999999999988,247.563780176425,0.0119999999999987,426
7,15,0.01,"gaussian","double","double",0.64395682082051,1.60203857061306,0.0099999999999998,250.589784297645,0.00999999999999979,427
8,15,0.01,"gaussian","double","double",0.673509735600932,1.72181146211572,0.00999999999999986,217.032757639838,0.011000000000001,428
9,15,0.01,"gaussian","double","double",0.693473585211005,1.76152972146156,0.00999999999999979,224.409220661819,0.00900000000000034,429
10,15,0.01,"gaussian","double","double",0.658956840961884,1.67238118341979,0.00999999999999989,195.085090240845,0.011000000000001,430
1,15,0.01,"gaussian","single","double",0.680661222333522,1.51442853668545,0.00999999999999989,224.325666252113,0.0190000000000001,431
