"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed","basis_mode"
13,15,0.01,"gaussian","double","double",0.627711529597458,1.6250422241735,0.00999999999999982,228.563763702429,0.0700000000000001,20260580,"shared"
14,15,0.01,"gaussian","double","double",0.731966243244121,1.64027571137024,0.0099999999999998,269.632084742451,0.482,20260581,"shared"
15,15,0.01,"gaussian","double","double",0.693353468558955,1.69484952542586,0.00999999999999989,195.188617998799,0.0649999999999999,20260582,"shared"
16,15,0.01,"gaussian","double","double",0.655034058687893,1.51906705074862,0.00999999999999988,186.726982125125,0.347,20260583,"shared"
17,15,0.01,"gaussian","double","double",0.544843499028587,1.62143539387362,0.00999999999999986,163.77175468722,0.617,20260584,"shared"
18,15,0.01,"gaussian","double","double",0.654220139411866,1.47093180771182,0.00999999999999987,225.120211804939,0.617,20260585,"shared"
19,15,0.01,"gaussian","double","double",0.725707341121751,1.52034132795515,0.00999999999999981,263.213471814459,0.213,20260586,"shared"
20,15,0.01,"gaussian","double","double",0.632239942443098,1.77563628091137,0.00999999999999991,226.652320148698,0.225000000000001,20260587,"shared"
1,20,0.01,"gaussian","double","double",0.635121328161671,1.36659635222064,0.00999999999999987,254.724642336929,0.652,20260588,"shared"
2,20,0.01,"gaussian","double","double",0.746616879226183,1.39329268228911,0.00999999999999991,226.501712519158,1.381,20260589,"shared"
3,20,0.01,"gaussian","double","double",0.72348869691781,1.26751831751592,0.0099999999999999,231.041196851579,0.220000000000001,20260590,"shared"
4,20,0.01,"gaussian","double","double",0.669217852738611,1.18864588033752,0.00999999999999986,269.714636244426,0.0650000000000004,20260591,"shared"
5,20,0.01,"gaussian","double","double",0.717558256670098,1.28291977829593,0.00999999999999988,272.265968610484,0.0299999999999994,20260592,"shared"
6,20,0.01,"gaussian","double","double",0.735143569564681,1.2117234523271,0.00999999999999992,273.340839820136,0.0300000000000002,20260593,"shared"
7,20,0.01,"gaussian","double","double",0.742001865986779,1.37455450303415,0.0099999999999998,252.085625859935,0.077,20260594,"shared"
8,20,0.01,"gaussian","double","double",0.579267095316943,1.19088543999026,0.0099999999999999,173.69834656648,0.0389999999999997,20260595,"shared"
9,20,0.01,"gaussian","double","double",0.641741735616084,1.43773742828417,0.00999999999999982,223.74451447871,0.0180000000000007,20260596,"shared"
10,20,0.01,"gaussian","double","double",0.709207828781135,1.17321755121589,0.00999999999999991,249.200189184741,0.0840000000000005,20260597,"shared"
11,20,0.01,"gaussian","double","double",0.712972765416505,1.37964212362771,0.00999999999999989,248.909468807257,0.0369999999999999,20260598,"shared"
12,20,0.01,"gaussian","double","double",0.762948134164245,1.33875446511033,0.00999999999999993,233.383720397926,0.0190000000000001,20260599,"shared"
13,20,0.01,"gaussian","double","double",0.643944105838841,1.38343068508488,0.0099999999999999,252.82457501511,0.0609999999999999,20260600,"shared"
14,20,0.01,"gaussian","double","double",0.570067628640494,1.44712528792952,0.00999999999999983,209.737535799725,0.0969999999999995,20260601,"shared"
15,20,0.01,"gaussian","double","double",0.597929068429186,1.28418139679007,0.00999999999999991,245.798616667964,0.236000000000001,20260602,"shared"
16,20,0.01,"gaussian","double","double",0.608938428743548,1.26676282262195,0.00999999999999985,209.145633017058,0.00900000000000034,20260603,"shared"
17,20,0.01,"gaussian","double","double",0.695345440765815,1.39083223172986,0.0099999999999998,273.375824730125,0.0309999999999988,20260604,"shared"
18,20,0.01,"gaussian","double","double",0.643868700446934,1.15689572475587,0.00999999999999986,204.798731068899,0.0360000000000014,20260605,"shared"
19,20,0.01,"gaussian","double","double",0.777514518697976,1.27659662444676,0.00999999999999989,230.256878089963,0.0410000000000004,20260606,"shared"
20,20,0.01,"gaussian","double","double",0.710067147938565,1.22057771368399,0.00999999999999983,204.102414984011,0.011000000000001,20260607,"shared"
1,25,0.01,"gaussian","double","double",0.791050171376295,1.05075380566156,0.0099999999999999,295.136310428897,0.0180000000000007,20260608,"shared"
2,25,0.01,"gaussian","double","double",0.727343417794411,1.11661910024948,0.00999999999999991,297.413131409353,0.0289999999999999,20260609,"shared"
3,25,0.01,"gaussian","double","double",0.617539623673617,1.03107293611575,0.00999999999999998,198.593256711561,0.0190000000000001,20260610,"shared"
4,25,0.01,"gaussian","double","double",0.730861673636592,1.11905579779102,0.00999999999999988,230.918394680113,0.0250000000000004,20260611,"shared"
5,25,0.01,"gaussian","double","double",0.751175293478236,1.05444980376486,0.00999999999999988,227.162495502672,0.0129999999999999,20260612,"shared"
6,25,0.01,"gaussian","double","double",0.574826902970392,1.2394154373829,0.0099999999999999,165.393670448042,0.0109999999999992,20260613,"shared"
7,25,0.01,"gaussian","double","double",0.684717467390933,1.03003006680171,0.00999999999999996,205.556367859932,0.016,20260614,"shared"
8,25,0.01,"gaussian","double","double",0.681187459625655,1.10704823226528,0.00999999999999984,218.031037833458,0.0289999999999999,20260615,"shared"
9,25,0.01,"gaussian","double","double",0.637288543619037,1.19846280321544,0.00999999999999989,211.893282670526,0.0410000000000004,20260616,"shared"
10,25,0.01,"gaussian","double","double",0.751074635653992,1.19936703032748,0.00999999999999996,228.516967368614,0.0240000000000009,20260617,"shared"
11,25,0.01,"gaussian","double","double",0.656288490554673,1.05573416508258,0.00999999999999992,228.912662005384,0.0139999999999993,20260618,"shared"
12,25,0.01,"gaussian","double","double",0.668203610636477,1.06218642571027,0.00999999999999991,182.056027495411,0.0220000000000002,20260619,"shared"
13,25,0.01,"gaussian","double","double",0.645016354073637,1.10866123892676,0.00999999999999993,231.178621716372,0.0150000000000006,20260620,"shared"
14,25,0.01,"gaussian","double","double",0.651889229919543,1.09375477248278,0.00999999999999991,280.23738056797,0.0730000000000004,20260621,"shared"
15,25,0.01,"gaussian","double","double",0.61448698270758,1.19097377396875,0.00999999999999992,298.479164691389,0.0830000000000002,20260622,"shared"
16,25,0.01,"gaussian","double","double",0.703178427138668,1.0023629499265,0.00999999999999978,192.09770043342,0.260999999999999,20260623,"shared"
17,25,0.01,"gaussian","double","double",0.653756794723085,1.11397667033093,0.00999999999999998,211.152201027852,0.0280000000000005,20260624,"shared"
18,25,0.01,"gaussian","double","double",0.626627426885744,1.04660651675947,0.00999999999999994,196.985305358088,0.0220000000000002,20260625,"shared"
19,25,0.01,"gaussian","double","double",0.684569870557264,1.10486795624888,0.00999999999999995,200.545955659228,0.413,20260626,"shared"
20,25,0.01,"gaussian","double","double",0.622450499367762,1.09193039001583,0.00999999999999993,173.920291987567,0.0990000000000002,20260627,"shared"
1,30,0.01,"gaussian","double","double",0.647142227112103,1.08339364842063,0.0100096727830383,208.604030229594,0.0269999999999992,20260628,"shared"
2,30,0.01,"gaussian","double","double",0.682141749537259,0.932357512756039,0.0100704827704149,222.839437994392,0.0269999999999992,20260629,"shared"
3,30,0.01,"gaussian","double","double",0.577716143157948,1.20397109523431,0.0100087857245,215.948194786884,0.032,20260630,"shared"
4,30,0.01,"gaussian","double","double",0.624212473133042,1.06071572564633,0.010012312325423,203.376353583327,0.0139999999999993,20260631,"shared"
5,30,0.01,"gaussian","double","double",0.678029656437347,1.19690699680572,0.0100003574094991,209.926521539931,0.0240000000000009,20260632,"shared"
6,30,0.01,"gaussian","double","double",0.754301517542251,0.947764139980183,0.0100089879763974,230.297268529002,0.104999999999999,20260633,"shared"
7,30,0.01,"gaussian","double","double",0.63486024989252,1.00636504242438,0.010085013914884,192.167083579202,0.0540000000000003,20260634,"shared"
8,30,0.01,"gaussian","double","double",0.56561618868977,1.04796986287879,0.0100014339539294,163.261449824509,0.0700000000000003,20260635,"shared"
9,30,0.01,"gaussian","double","double",0.7219182363823,1.13371172310134,0.010012472369627,214.907679291138,0.0539999999999985,20260636,"shared"
10,30,0.01,"gaussian","double","double",0.643699293563703,1.04506601235593,0.0100442707409114,174.101710846555,0.119000000000002,20260637,"shared"
11,30,0.01,"gaussian","double","double",0.667960020458835,1.14945945608766,0.0100900919604993,197.38382906495,0.0200000000000014,20260638,"shared"
12,30,0.01,"gaussian","double","double",0.669426210487062,1.21886295412012,0.0100297351209172,155.648224930088,0.385,20260639,"shared"
13,30,0.01,"gaussian","double","double",0.599187504697351,1.19207983256712,0.0100688375270511,174.935724201775,0.0300000000000011,20260640,"shared"
14,30,0.01,"gaussian","double","double",0.834365505414575,0.928820342627378,0.0100028453434781,236.806178495836,0.0630000000000006,20260641,"shared"
15,30,0.01,"gaussian","double","double",0.625329323551396,1.19600998346613,0.0100099972391413,175.977335890955,0.0380000000000003,20260642,"shared"
16,30,0.01,"gaussian","double","double",0.613904942670011,0.960472943419154,0.0100213435342763,207.635040700313,0.197000000000001,20260643,"shared"
17,30,0.01,"gaussian","double","double",0.685809913053642,1.11525156331242,0.0101264581228757,262.950190817961,0.407,20260644,"shared"
18,30,0.01,"gaussian","double","double",0.786142798904354,1.05361733787592,0.0100195283670441,216.037556170881,1.626,20260645,"shared"
19,30,0.01,"gaussian","double","double",0.740058446533712,0.947867340284097,0.0101713311097234,204.582093541238,0.466999999999999,20260646,"shared"
20,30,0.01,"gaussian","double","double",0.802165689734531,1.0435708720018,0.0100807022005155,214.217911532822,0.0340000000000007,20260647,"shared"
