"s","sketch_prec","solve_prec","trial","residual_ratio","solution_error","condition_number"
50,"single","double",18,1.28701815679144,0.019645630663482,6.35426260353472
50,"single","double",19,1.31486880059066,0.0189904941199142,8.94887266689093
50,"single","double",20,1.27081952481194,0.0175659108651443,8.14576041940649
50,"half","double",1,1.21371071608756,0.0155101922053862,7.9079201259431
50,"half","double",2,1.22515134502635,0.0149348302378887,8.11700541731668
50,"half","double",3,1.09283184543412,0.0100247064166699,6.83033258720644
50,"half","double",4,1.215236946705,0.0155017985174516,5.66986769806219
50,"half","double",5,1.23167300469925,0.0164440365268292,7.29878504527373
50,"half","double",6,1.276880172561,0.0170740651126803,6.49807519585469
50,"half","double",7,1.30908041297165,0.0201356510013833,7.3383339859837
50,"half","double",8,1.27115305160401,0.0173988101927404,7.29101435879277
50,"half","double",9,1.22820392619881,0.0156110024205153,5.24952394360136
50,"half","double",10,1.46078055490604,0.0231046920945108,8.43238999558719
50,"half","double",11,1.37046912787904,0.0209724638745939,6.22673954069852
50,"half","double",12,1.17462673508304,0.013937346419626,7.62579733787807
50,"half","double",13,1.14940388894117,0.0122701715909941,7.16165681854057
50,"half","double",14,1.26128781072963,0.0176720169205701,6.90479606961571
50,"half","double",15,1.26335677159735,0.0173689978517167,6.58598725969277
50,"half","double",16,1.36502770086363,0.0213395689258397,7.04004283991641
50,"half","double",17,1.36582122944029,0.0201374369749065,6.07064378339529
50,"half","double",18,1.20921917197812,0.0153731130390898,6.54520207766479
50,"half","double",19,1.20396155969666,0.0155891805682242,8.53966804074008
50,"half","double",20,1.30953625823045,0.0185583984070634,6.10884104974667
50,"bfloat16","double",1,1.48835884787903,0.0247031616932383,7.55366075890061
50,"bfloat16","double",2,1.50057389019998,0.0247095222600491,5.33274741929014
50,"bfloat16","double",3,1.15011664876571,0.0122712886753255,6.6761627715199
50,"bfloat16","double",4,1.27792178662054,0.0185117413780612,8.33229118724317
50,"bfloat16","double",5,1.2400585948564,0.0172640649150353,5.13732665591464
50,"bfloat16","double",6,1.34243791420763,0.0211946400391245,6.91160448426498
50,"bfloat16","double",7,1.17403697306448,0.0146004318593947,6.79898594278776
50,"bfloat16","double",8,1.50557408007993,0.0255718384072534,12.218687635708
50,"bfloat16","double",9,1.20713698968853,0.0151153861613413,8.77770619848036
50,"bfloat16","double",10,1.47586484397952,0.0253206637915897,8.13988932108642
50,"bfloat16","double",11,1.23339885233993,0.0166547427576483,9.30309556579097
50,"bfloat16","double",12,1.53790453730485,0.0267610970031142,7.74370537966796
50,"bfloat16","double",13,1.21994213804531,0.0160217757652595,9.57076509331702
50,"bfloat16","double",14,1.40672806443008,0.0220949424238679,5.54511554392119
50,"bfloat16","double",15,1.15283927641268,0.0135294137650674,6.89153065326933
50,"bfloat16","double",16,1.27793598383131,0.017710747751525,7.48523975745774
50,"bfloat16","double",17,1.43611174948121,0.0230823864084099,6.08335654801603
50,"bfloat16","double",18,1.19562103134526,0.0141866895869749,7.04861865895049
50,"bfloat16","double",19,1.28192848246336,0.018297012168668,7.27614742277598
