"cond_num","s","trial","solution_error","residual_norm","condition_number"
10000,200,10,7.03301180766686e-14,3.64432063266718e-12,22906.8145021038
10000,200,11,2.57465841992802e-14,3.22061872067353e-12,23258.2404342983
10000,200,12,6.59724284702188e-14,4.18401236214208e-12,20505.2507891303
10000,200,13,7.67091042293167e-14,3.87106264802463e-12,23199.3523740357
10000,200,14,8.27344239198561e-14,3.02863371347878e-12,28442.0894666687
10000,200,15,1.28819670798032e-13,3.53085944487962e-12,27370.6445936891
10000,200,16,1.10185359214344e-13,3.33111763298438e-12,25275.030261166
10000,200,17,1.20734872914784e-13,3.28531518722782e-12,24389.5116603817
10000,200,18,7.66907559006055e-14,3.09133660089664e-12,24682.8215101914
10000,200,19,9.19281357808903e-14,3.0790387902474e-12,25601.8094303519
10000,200,20,5.82595231359561e-14,3.93191520521515e-12,25751.2536558256
1e+06,50,1,5.12213313069127e-11,9.83086155411906e-10,1341777.61086503
1e+06,50,2,3.3312069026037e-11,7.23510895401294e-10,1069831.48997139
1e+06,50,3,1.10869258992983e-11,6.50255479381309e-10,877662.255948792
1e+06,50,4,1.00124398157297e-10,1.0310016053616e-09,1090721.07083461
1e+06,50,5,1.20857863955945e-11,1.524942676868e-09,859151.883202452
1e+06,50,6,1.44544669279378e-11,8.99783797782609e-10,725811.605605975
1e+06,50,7,3.15813449538143e-11,8.48557094542751e-10,1212775.88086927
1e+06,50,8,4.02407549896748e-11,1.46366720462542e-09,2156166.81461595
1e+06,50,9,3.09185431255541e-11,8.61738310810307e-10,706352.325321034
1e+06,50,10,4.04515765861842e-11,8.55008103775667e-10,1284500.02040693
1e+06,50,11,5.98686040432354e-11,1.1161107427254e-09,1440662.86030055
1e+06,50,12,3.50989833398595e-11,1.30211446764374e-09,993439.008559101
1e+06,50,13,5.28302397742085e-11,1.29048308676676e-09,918995.597379087
1e+06,50,14,5.34254973045723e-11,7.40680976754874e-10,579179.316531265
1e+06,50,15,6.31707150925837e-12,7.90546716456659e-10,1356600.99467375
1e+06,50,16,1.55858960018254e-11,8.40608934625156e-10,1204723.49798877
1e+06,50,17,5.17422657771584e-11,1.10117519378541e-09,1174853.74137934
1e+06,50,18,3.32901842978614e-11,1.21690603516385e-09,1159054.05199531
1e+06,50,19,8.09892568629571e-11,9.65364577901687e-10,1142706.27398567
1e+06,50,20,2.55738713282811e-11,1.01993535511373e-09,1247345.43859705
1e+06,100,1,1.12433797509363e-11,6.00677357708351e-10,794096.6173639
1e+06,100,2,2.01062317464121e-11,7.14756372815311e-10,836507.393106847
1e+06,100,3,5.28816509252602e-11,6.27314369520007e-10,795780.23360176
1e+06,100,4,4.93805743788977e-11,8.30278878883356e-10,1204245.4993006
1e+06,100,5,3.03135379961374e-11,8.75040610958605e-10,970410.92505232
1e+06,100,6,2.93153670676975e-11,8.24976118711838e-10,620826.400397814
1e+06,100,7,1.50687503980472e-11,5.92209916839968e-10,969842.213849653
1e+06,100,8,2.47702872660193e-11,1.86688731013277e-09,822759.941019616
1e+06,100,9,4.37224569923305e-11,9.00205088065299e-10,860671.692498101
1e+06,100,10,3.26637409084291e-11,9.30834725867416e-10,920470.166748331
1e+06,100,11,2.03066044154529e-11,6.66274396756142e-10,848393.808032632
1e+06,100,12,1.43402348267699e-11,1.06039398824186e-09,858315.351889497
1e+06,100,13,4.86088894573249e-11,1.27629006196997e-09,1148062.69501248
1e+06,100,14,3.07659523348614e-11,1.24991311219584e-09,592338.48326082
1e+06,100,15,8.37275178032781e-11,1.213906806676e-09,1257626.08779886
1e+06,100,16,9.10786106038205e-12,4.83297389027274e-10,1010323.37932879
1e+06,100,17,7.19716250104458e-12,8.60599960185508e-10,850108.315781634
1e+06,100,18,2.79773947446999e-11,6.3653892933171e-10,781041.784417056
1e+06,100,19,3.3032915802234e-11,8.37302008490744e-10,987793.470492697
1e+06,100,20,5.97491767887322e-12,5.6914642245078e-10,938200.391848272
1e+06,200,1,2.99553086804854e-11,1.15566995931299e-09,740864.18767284
1e+06,200,2,1.25240989481411e-11,8.72296221487108e-10,893271.354007886
1e+06,200,3,4.3238785759254e-11,1.62273347349434e-09,848414.430058512
1e+06,200,4,1.36178563708004e-11,4.73898888681548e-10,787338.624647005
1e+06,200,5,2.5355488244855e-11,4.50482512895139e-10,808044.70712645
1e+06,200,6,7.52941964644663e-12,7.41330660069827e-10,772455.973313558
1e+06,200,7,1.49072014040289e-11,3.78172391947892e-10,746252.364809205
1e+06,200,8,3.69684177691741e-11,4.87955985915989e-10,879678.59767434
1e+06,200,9,2.62768681761162e-11,1.21582442683542e-09,843100.640620463
1e+06,200,10,4.10956546884944e-11,7.17425164944439e-10,819931.108985588
1e+06,200,11,2.3216432701944e-11,5.04055387698726e-10,886407.793154955
