"trial","rank","lambda","basis_mode","pearson_error","spearman_error","quantile_error","covariance_error_x","covariance_error_y","runtime","transport_error_proxy"
10,10,0.01,"independent",1.49180367684978,1.46192466344015,3.00239674942847e-17,11.0672011638177,10.2228926067967,0.0760000000000005,2.06266356305451
11,10,0.01,"independent",1.53591585093767,1.5192442338579,3.00239674942847e-17,10.9651689973427,10.6159629819891,0.0720000000000001,2.06266356305451
12,10,0.01,"independent",1.53447746625558,1.50974399307904,3.00239674942847e-17,10.1538318377385,11.9010910822655,0.0700000000000003,2.06266356305451
13,10,0.01,"independent",1.50907420995061,1.4774619011413,3.00239674942847e-17,11.4158823468098,9.72335555609248,0.069,2.06266356305451
14,10,0.01,"independent",1.47598608751638,1.43650342208363,3.00239674942847e-17,9.6175984761112,10.7736843064145,0.0679999999999996,2.06266356305451
15,10,0.01,"independent",1.42810113078657,1.40156115578091,3.00239674942847e-17,9.26378562687614,10.6763755394261,0.0759999999999996,2.06266356305451
16,10,0.01,"independent",1.3938861046233,1.36289736153542,3.00239674942847e-17,10.0890205736947,10.8598682222627,0.0629999999999997,2.06266356305451
17,10,0.01,"independent",1.45211726195542,1.42576557496364,3.00239674942847e-17,11.8452474932012,10.6336355198365,0.0669999999999993,2.06266356305451
18,10,0.01,"independent",1.49397638460327,1.47613959206993,3.00239674942847e-17,11.3800697655475,11.3941654681066,0.085,2.06266356305451
19,10,0.01,"independent",1.50567487150697,1.47425481973705,3.00239674942847e-17,9.76242931697335,10.7158243794898,0.0819999999999999,2.06266356305451
20,10,0.01,"independent",1.51849504807867,1.50276515634236,3.00239674942847e-17,11.5944442922837,11.8565565494606,0.0670000000000002,2.06266356305451
1,20,1e-06,"shared",1.60203077510836,1.56737764067663,3.00239674942847e-17,8.23787334173418,8.26272647727546,0.0830000000000002,142.167261762421
2,20,1e-06,"shared",1.58865501273645,1.56349134064519,3.00239674942847e-17,8.20563516364733,6.23369837687188,0.0870000000000006,142.167261762421
3,20,1e-06,"shared",1.58221128972213,1.55007742488192,3.00239674942847e-17,6.2716640948892,6.06094838909133,0.0840000000000005,142.167261762421
4,20,1e-06,"shared",1.59033667219856,1.53807054306985,3.00239674942847e-17,5.99880545776982,7.18376474334214,0.0679999999999996,142.167261762421
5,20,1e-06,"shared",1.70780747639653,1.65211171987327,3.00239674942847e-17,7.12362198748095,6.11302254087318,0.069,142.167261762421
6,20,1e-06,"shared",1.6389808604304,1.59885133339794,3.00239674942847e-17,6.10113985980666,7.88639212315984,0.0659999999999998,142.167261762421
7,20,1e-06,"shared",1.58894649489311,1.56542637723019,3.00239674942847e-17,7.66357118374698,6.78890191995973,0.0670000000000002,142.167261762421
8,20,1e-06,"shared",1.67050049908512,1.63702698574698,3.00239674942847e-17,6.81120837056707,6.88324529647137,0.0579999999999998,142.167261762421
9,20,1e-06,"shared",1.7545765037092,1.69661254409063,3.00239674942847e-17,6.80357305293072,6.29847167596371,0.0729999999999995,142.167261762421
10,20,1e-06,"shared",1.60712815407132,1.57763760563704,3.00239674942847e-17,6.01760818061386,8.01777600891591,0.0629999999999997,142.167261762421
11,20,1e-06,"shared",1.54643189899218,1.51561944173865,3.00239674942847e-17,8.02756572222097,8.08026858747417,0.0709999999999997,142.167261762421
12,20,1e-06,"shared",1.64511773872272,1.59789742698157,3.00239674942847e-17,7.99227780207258,5.94187335513764,0.0889999999999995,142.167261762421
13,20,1e-06,"shared",1.65969196475448,1.63429413952732,3.00239674942847e-17,5.89801726940839,7.31886573170618,0.0760000000000005,142.167261762421
14,20,1e-06,"shared",1.59892971858373,1.55446286879316,3.00239674942847e-17,7.16640729428886,8.71464074701419,0.0830000000000002,142.167261762421
15,20,1e-06,"shared",1.64305449518841,1.60803539352936,3.00239674942847e-17,8.50261116223149,6.92295030722814,0.0709999999999997,142.167261762421
16,20,1e-06,"shared",1.61823414149698,1.57679055883054,3.00239674942847e-17,6.75053696189647,8.34440009013234,0.0860000000000003,142.167261762421
17,20,1e-06,"shared",1.6282360073437,1.6020504127193,3.00239674942847e-17,8.24467256935343,7.5417129888093,0.0789999999999997,142.167261762421
18,20,1e-06,"shared",1.67407789465024,1.63315372926315,3.00239674942847e-17,7.45121538241227,6.09104272955764,0.0659999999999998,142.167261762421
19,20,1e-06,"shared",1.59110871024786,1.55472801532523,3.00239674942847e-17,5.97828487601423,6.96429785223161,0.0700000000000003,142.167261762421
20,20,1e-06,"shared",1.5614978695413,1.51808070536204,3.00239674942847e-17,7.31666716381416,8.67149161947217,0.077,142.167261762421
1,20,1e-06,"independent",1.6301171983182,1.59861613188627,3.00239674942847e-17,8.52665793166256,8.66938492854016,0.0760000000000005,142.167261762421
2,20,1e-06,"independent",1.64557526481857,1.61736143721815,3.00239674942847e-17,7.31652504090334,8.90738833976213,0.0800000000000001,142.167261762421
