"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed"
2,20,1e-04,"gaussian","double","double",0.676167705707426,14.5989538515901,9.99999999998489e-05,29273.4804192681,0.00700000000000001,20260549
3,20,1e-04,"gaussian","double","double",0.674207463946433,13.8064471359342,9.99999999998521e-05,44641.0461682768,0.00900000000000001,20260550
4,20,1e-04,"gaussian","double","double",0.629939867385348,12.5508820253164,9.99999999998174e-05,30133.4472696317,0.005,20260551
5,20,1e-04,"gaussian","double","double",0.675616027920381,13.8173324815455,9.99999999998394e-05,26604.7692204119,0.005,20260552
6,20,1e-04,"gaussian","double","double",0.582070192129092,13.4010672313877,9.99999999999327e-05,23178.8450982246,0.005,20260553
7,20,1e-04,"gaussian","double","double",0.63681526731056,13.3620501632453,9.99999999998816e-05,30048.6462635785,0.00800000000000001,20260554
8,20,1e-04,"gaussian","double","double",0.781480178280746,14.2638642435178,9.99999999998575e-05,29555.3321431541,0.00700000000000001,20260555
9,20,1e-04,"gaussian","double","double",0.671799336587486,14.3902709084258,9.99999999998614e-05,27907.336626795,0.00800000000000001,20260556
10,20,1e-04,"gaussian","double","double",0.661811064022474,12.9264240135224,9.99999999997672e-05,36763.7052373656,0.01,20260557
11,20,1e-04,"gaussian","double","double",0.75794918847793,13.312318553601,9.99999999998534e-05,34158.6414962539,0.0109999999999999,20260558
12,20,1e-04,"gaussian","double","double",0.695480925193963,14.7159821091372,9.99999999998398e-05,28326.8289766338,0.004,20260559
13,20,1e-04,"gaussian","double","double",0.718852090439786,13.0503675197458,9.99999999998043e-05,43121.1014180662,0.004,20260560
14,20,1e-04,"gaussian","double","double",0.708534315749609,13.3326886873198,9.99999999998034e-05,34029.6631147707,0.005,20260561
15,20,1e-04,"gaussian","double","double",0.589237324593414,14.2934343121346,9.99999999998257e-05,24490.870927069,0.005,20260562
16,20,1e-04,"gaussian","double","double",0.627952946587127,13.6983849925587,9.99999999998657e-05,28259.8971249901,0.00800000000000001,20260563
17,20,1e-04,"gaussian","double","double",0.618282042824909,13.7359569992415,9.99999999998784e-05,28046.3244440091,0.004,20260564
18,20,1e-04,"gaussian","double","double",0.61080478568553,12.1884145047975,9.99999999998362e-05,35896.548515637,0.005,20260565
19,20,1e-04,"gaussian","double","double",0.597731312240292,12.1989839501181,9.99999999996927e-05,24665.6623234808,0.005,20260566
20,20,1e-04,"gaussian","double","double",0.689102857238651,15.2895225510137,9.99999999997108e-05,30696.0857526338,0.005,20260567
1,20,0.01,"gaussian","double","double",0.614361379211966,1.28849113041566,0.00999999999999991,222.383127810875,0.004,20260568
2,20,0.01,"gaussian","double","double",0.700042357881358,1.28617111595235,0.00999999999999982,326.529155527513,0.004,20260569
3,20,0.01,"gaussian","double","double",0.577943421576161,1.21647717770359,0.00999999999999986,259.439657015224,0.00600000000000001,20260570
4,20,0.01,"gaussian","double","double",0.592221589680146,1.29717778450865,0.00999999999999991,236.521752434713,0.004,20260571
5,20,0.01,"gaussian","double","double",0.68124974508,1.1804289099988,0.00999999999999985,233.739949453013,0.004,20260572
6,20,0.01,"gaussian","double","double",0.559038689020864,1.19143248039015,0.00999999999999982,214.842454076147,0.004,20260573
7,20,0.01,"gaussian","double","double",0.71817519473392,1.12299770275005,0.00999999999999988,236.541648956267,0.004,20260574
8,20,0.01,"gaussian","double","double",0.676241021065908,1.30089721612515,0.00999999999999989,199.917010852065,0.00399999999999989,20260575
9,20,0.01,"gaussian","double","double",0.689338938411744,1.30362664050194,0.00999999999999983,240.692855498615,0.004,20260576
10,20,0.01,"gaussian","double","double",0.789170363711461,1.23443912978975,0.00999999999999985,274.825001526586,0.005,20260577
11,20,0.01,"gaussian","double","double",0.705203689097807,1.52088120755471,0.00999999999999979,254.150095387455,0.00600000000000001,20260578
12,20,0.01,"gaussian","double","double",0.608456441345687,1.36800404986493,0.00999999999999985,211.162742244985,0.005,20260579
13,20,0.01,"gaussian","double","double",0.607935801681638,1.27152711038908,0.00999999999999985,243.27547636474,0.01,20260580
14,20,0.01,"gaussian","double","double",0.710838769127839,1.22857053776732,0.0099999999999999,279.91142357709,0.005,20260581
15,20,0.01,"gaussian","double","double",0.677711833624301,1.25717343249511,0.00999999999999978,182.019175617388,0.00800000000000001,20260582
16,20,0.01,"gaussian","double","double",0.633970426403112,1.15448151279805,0.00999999999999991,211.884869637483,0.005,20260583
17,20,0.01,"gaussian","double","double",0.529720102652316,1.11432627829972,0.00999999999999988,212.160376791669,0.005,20260584
18,20,0.01,"gaussian","double","double",0.641710565700572,1.1156273223269,0.00999999999999982,248.043329910213,0.011,20260585
19,20,0.01,"gaussian","double","double",0.705406501043923,1.01278186287293,0.00999999999999982,236.894239623196,0.017,20260586
20,20,0.01,"gaussian","double","double",0.602980334358846,1.29176981719889,0.00999999999999992,197.015662328529,0.01,20260587
1,20,0.1,"gaussian","double","double",0.635121328161671,0.448628624298733,0.0999999999999999,26.767424671538,0.056,20260588
2,20,0.1,"gaussian","double","double",0.746616879226183,0.427803625969591,0.0999999999999998,26.3661776385216,0.00600000000000001,20260589
3,20,0.1,"gaussian","double","double",0.72348869691781,0.407213566630946,0.0999999999999999,25.2329800292914,0.00600000000000001,20260590
4,20,0.1,"gaussian","double","double",0.669217852738611,0.409139155574434,0.0999999999999999,31.3614029629434,0.011,20260591
5,20,0.1,"gaussian","double","double",0.717558256670098,0.398347607389709,0.0999999999999998,29.6147398369543,0.0159999999999999,20260592
6,20,0.1,"gaussian","double","double",0.735143569564681,0.38120375069805,0.0999999999999998,28.0328084318676,0.005,20260593
7,20,0.1,"gaussian","double","double",0.742001865986779,0.447237616145289,0.0999999999999999,29.4092080348073,0.00700000000000001,20260594
8,20,0.1,"gaussian","double","double",0.579267095316943,0.419248050849667,0.0999999999999998,22.4992219979769,0.00600000000000001,20260595
9,20,0.1,"gaussian","double","double",0.641741735616084,0.436906570400927,0.0999999999999998,25.7446960943443,0.00500000000000012,20260596
10,20,0.1,"gaussian","double","double",0.709207828781135,0.395574846427391,0.0999999999999998,25.1070365776792,0.00500000000000012,20260597
11,20,0.1,"gaussian","double","double",0.712972765416505,0.451776970770631,0.0999999999999998,25.1961087549138,0.00800000000000001,20260598
12,20,0.1,"gaussian","double","double",0.762948134164245,0.436042296315406,0.0999999999999999,24.7897732841047,0.00500000000000012,20260599
13,20,0.1,"gaussian","double","double",0.643944105838841,0.432515114374259,0.0999999999999997,26.9342272935592,0.00500000000000012,20260600
14,20,0.1,"gaussian","double","double",0.570067628640494,0.460565641455753,0.0999999999999998,21.5548613670763,0.004,20260601
15,20,0.1,"gaussian","double","double",0.597929068429186,0.411965535370902,0.0999999999999999,21.4129463168763,0.00500000000000012,20260602
16,20,0.1,"gaussian","double","double",0.608938428743548,0.396542729249585,0.0999999999999998,24.9775796966459,0.00499999999999989,20260603
17,20,0.1,"gaussian","double","double",0.695345440765815,0.434430118209385,0.0999999999999997,30.6121792210553,0.0069999999999999,20260604
18,20,0.1,"gaussian","double","double",0.643868700446934,0.384754943206049,0.0999999999999999,23.0637773358727,0.00600000000000001,20260605
19,20,0.1,"gaussian","double","double",0.777514518697976,0.42239402549994,0.0999999999999999,25.0344957102905,0.00600000000000001,20260606
20,20,0.1,"gaussian","double","double",0.710067147938565,0.405883380400102,0.0999999999999996,23.0462709616049,0.004,20260607
